"problem","characters","fluents","actions","triggers","atl","ctl","el","visited","generated","time (ms)"
"macguffin",2,9,5,12,2,2,1,10,35,5
"bribery",3,16,27,0,5,5,2,107948,254697,4044
"deerhunter",3,35,28,76,10,6,1,3248573,8061936,17018443
"secretagent",2,14,44,75,8,8,1,192,258,90
"fantasy",4,68,76,136,8,3,2,57577092,112948253,80770940
"space",2,23,29,62,9,3,1,28056,153418,4968
"raiders",3,21,39,66,7,4,1,640,4748,142
"treasure",2,4,5,0,4,4,3,68,159,13
"gramma",4,61,812,896,7,5,2,46025698,175177871,27116736
"jailbreak",3,26,106,54,7,6,1,196535147,534466388,11149383